N_MUNICIPIO,MAGNITUD,TIPO_AREA,TIPO_ESTACION,LATITUD,LONGITUD,MEDIA_DIARIA,PELIGROSIDAD
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.44583333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.6291666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3958333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3541666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.36666666666666653,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.5125000000000001,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.5041666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.42916666666666686,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.38333333333333347,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.4208333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.46666666666666673,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.4583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.43333333333333335,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.4250000000000001,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.43750000000000017,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.44583333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.38333333333333347,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.47500000000000014,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3708333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2958333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3166666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.32083333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.32916666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3416666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.37500000000000006,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3708333333333335,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.35833333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.25,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2833333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.42916666666666664,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.24583333333333324,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.27499999999999997,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.29999999999999993,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.22083333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2916666666666665,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2249999999999999,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.24583333333333324,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19583333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.21666666666666665,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3541666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2624999999999999,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17916666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2166666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3541666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3333333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.29583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.29583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2291666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3833333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3125,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1791666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.27916666666666656,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.16250000000000006,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.10000000000000003,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17083333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12083333333333339,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.22916666666666663,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.32916666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.5625000000000001,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.36666666666666664,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.4041666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.22916666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.23750000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.4166666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2833333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.18333333333333335,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1791666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1666666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12083333333333339,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12500000000000003,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12083333333333339,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.15000000000000005,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.11250000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.14166666666666675,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19166666666666674,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17916666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2374999999999998,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.23749999999999982,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1666666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.23749999999999985,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17500000000000007,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2416666666666665,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.11250000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12500000000000006,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1708333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19999999999999998,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.24166666666666656,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.20833333333333337,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1666666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.15000000000000005,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.15000000000000005,Baja
