LATITUD,LONGITUD,Media_Diaria,N_MUNICIPIO_N,MAGNITUD_N,TIPO_AREA_N,TIPO_ESTACION_N,Peligrosidad_N
40.54035,-3.64525,1.0458333333333332,0,0,0,0,0
40.54035,-3.64525,0.9666666666666668,0,0,0,0,0
40.54035,-3.64525,1.175,0,0,0,0,0
40.54035,-3.64525,1.0875,0,0,0,0,0
40.54035,-3.64525,0.4291666666666667,0,0,0,0,0
40.54035,-3.64525,0.8416666666666665,0,0,0,0,0
40.54035,-3.64525,0.6916666666666668,0,0,0,0,0
40.54035,-3.64525,0.8874999999999998,0,0,0,0,0
40.54035,-3.64525,0.5916666666666671,0,0,0,0,0
40.54035,-3.64525,0.3833333333333333,0,0,0,0,0
40.54035,-3.64525,0.5333333333333335,0,0,0,0,0
40.54035,-3.64525,0.6041666666666669,0,0,0,0,0
40.54035,-3.64525,0.8208333333333334,0,0,0,0,0
40.54035,-3.64525,0.8125000000000001,0,0,0,0,0
40.54035,-3.64525,0.775,0,0,0,0,0
40.54035,-3.64525,0.9708333333333332,0,0,0,0,0
40.54035,-3.64525,1.1250000000000002,0,0,0,0,0
40.54035,-3.64525,1.125,0,0,0,0,0
40.54035,-3.64525,1.0208333333333337,0,0,0,0,0
40.54035,-3.64525,0.6750000000000002,0,0,0,0,0
40.54035,-3.64525,0.5958333333333333,0,0,0,0,0
40.54035,-3.64525,0.6791666666666667,0,0,0,0,0
40.54035,-3.64525,0.6708333333333333,0,0,0,0,0
40.54035,-3.64525,0.5916666666666666,0,0,0,0,0
40.54035,-3.64525,0.7583333333333333,0,0,0,0,0
40.54035,-3.64525,0.7791666666666669,0,0,0,0,0
40.54035,-3.64525,0.8291666666666667,0,0,0,0,0
40.54035,-3.64525,0.8416666666666667,0,0,0,0,0
40.54035,-3.64525,0.8708333333333332,0,0,0,0,0
40.54035,-3.64525,0.7999999999999998,0,0,0,0,0
40.54035,-3.64525,0.3458333333333332,0,0,0,0,0
40.54035,-3.64525,0.775,0,0,0,0,0
40.54035,-3.64525,0.8875000000000001,0,0,0,0,0
40.54035,-3.64525,0.4875,0,0,0,0,0
40.54035,-3.64525,0.5333333333333333,0,0,0,0,0
40.54035,-3.64525,0.6833333333333335,0,0,0,0,0
40.54035,-3.64525,0.7041666666666667,0,0,0,0,0
40.54035,-3.64525,1.0458333333333332,0,0,0,0,0
40.54035,-3.64525,0.8666666666666668,0,0,0,0,0
40.54035,-3.64525,1.2458333333333331,0,0,0,0,0
40.54035,-3.64525,0.5916666666666667,0,0,0,0,0
40.54035,-3.64525,0.5916666666666671,0,0,0,0,0
40.54035,-3.64525,0.3541666666666667,0,0,0,0,0
40.54035,-3.64525,0.5500000000000002,0,0,0,0,0
