MEDIA_DIARIA,N_MUNICIPIO_N,MAGNITUD_N,TIPO_AREA_N,TIPO_ESTACION_N,PELIGROSIDAD_N
1.0458333333333332,0,0,0,0,0
0.9666666666666668,0,0,0,0,0
1.175,0,0,0,0,0
1.0875,0,0,0,0,0
0.4291666666666667,0,0,0,0,0
0.8416666666666665,0,0,0,0,0
0.6916666666666668,0,0,0,0,0
0.8874999999999998,0,0,0,0,0
0.5916666666666671,0,0,0,0,0
0.3833333333333333,0,0,0,0,0
0.5333333333333335,0,0,0,0,0
0.6041666666666669,0,0,0,0,0
0.8208333333333334,0,0,0,0,0
0.8125000000000001,0,0,0,0,0
0.775,0,0,0,0,0
0.9708333333333332,0,0,0,0,0
1.1250000000000002,0,0,0,0,0
1.125,0,0,0,0,0
1.0208333333333337,0,0,0,0,0
0.6750000000000002,0,0,0,0,0
0.5958333333333333,0,0,0,0,0
0.6791666666666667,0,0,0,0,0
0.6708333333333333,0,0,0,0,0
0.5916666666666666,0,0,0,0,0
0.7583333333333333,0,0,0,0,0
0.7791666666666669,0,0,0,0,0
0.8291666666666667,0,0,0,0,0
0.8416666666666667,0,0,0,0,0
0.8708333333333332,0,0,0,0,0
0.7999999999999998,0,0,0,0,0
0.3458333333333332,0,0,0,0,0
0.775,0,0,0,0,0
0.8875000000000001,0,0,0,0,0
0.4875,0,0,0,0,0
0.5333333333333333,0,0,0,0,0
0.6833333333333335,0,0,0,0,0
0.7041666666666667,0,0,0,0,0
1.0458333333333332,0,0,0,0,0
0.8666666666666668,0,0,0,0,0
1.2458333333333331,0,0,0,0,0
0.5916666666666667,0,0,0,0,0
0.5916666666666671,0,0,0,0,0
0.3541666666666667,0,0,0,0,0
0.5500000000000002,0,0,0,0,0
1.2125000000000004,0,0,0,0,0
0.8291666666666666,0,0,0,0,0
0.4499999999999999,0,0,0,0,0
0.5166666666666667,0,0,0,0,0
0.5500000000000003,0,0,0,0,0
0.4708333333333334,0,0,0,0,0
0.6166666666666667,0,0,0,0,0
0.6458333333333334,0,0,0,0,0
0.45,0,0,0,0,0
0.4375,0,0,0,0,0
0.425,0,0,0,0,0
0.6000000000000001,0,0,0,0,0
0.7041666666666666,0,0,0,0,0
0.6166666666666669,0,0,0,0,0
0.3583333333333334,0,0,0,0,0
0.4166666666666668,0,0,0,0,0
0.3916666666666668,0,0,0,0,0
0.3916666666666668,0,0,0,0,0
0.4458333333333333,0,0,0,0,0
0.6291666666666667,0,0,0,0,0
0.3958333333333334,0,0,0,0,0
0.3541666666666667,0,0,0,0,0
0.3666666666666665,0,0,0,0,0
0.5125000000000001,0,0,0,0,0
0.5041666666666667,0,0,0,0,0
0.4291666666666668,0,0,0,0,0
0.3833333333333334,0,0,0,0,0
0.4208333333333334,0,0,0,0,0
0.4666666666666667,0,0,0,0,0
0.4583333333333334,0,0,0,0,0
0.4333333333333333,0,0,0,0,0
0.4250000000000001,0,0,0,0,0
0.4375000000000001,0,0,0,0,0
0.4458333333333333,0,0,0,0,0
0.3833333333333334,0,0,0,0,0
0.4750000000000001,0,0,0,0,0
0.3708333333333334,0,0,0,0,0
0.2958333333333334,0,0,0,0,0
0.3166666666666666,0,0,0,0,0
0.3208333333333333,0,0,0,0,0
0.3291666666666666,0,0,0,0,0
0.3416666666666666,0,0,0,0,0
0.375,0,0,0,0,0
0.3708333333333335,0,0,0,0,0
0.3583333333333333,0,0,0,0,0
0.25,0,0,0,0,0
0.2833333333333334,0,0,0,0,0
0.4291666666666666,0,0,0,0,0
0.2458333333333332,0,0,0,0,0
0.2749999999999999,0,0,0,0,0
0.2999999999999999,0,0,0,0,0
0.2208333333333333,0,0,0,0,0
0.2916666666666665,0,0,0,0,0
0.2249999999999999,0,0,0,0,0
0.2458333333333332,0,0,0,0,0
0.1958333333333333,0,0,0,0,0
0.2166666666666666,0,0,0,0,0
0.3541666666666667,0,0,0,0,0
0.2624999999999999,0,0,0,0,0
0.1791666666666666,0,0,0,0,0
0.2166666666666667,0,0,0,0,0
0.3541666666666667,0,0,0,0,0
0.3333333333333333,0,0,0,0,0
0.2958333333333333,0,0,0,0,0
0.2958333333333333,0,0,0,0,0
0.2291666666666667,0,0,0,0,0
0.3833333333333333,0,0,0,0,0
0.3125,0,0,0,0,0
0.1791666666666667,0,0,0,0,0
0.2791666666666665,0,0,0,0,0
0.1625,0,0,0,0,0
0.1,0,0,0,0,0
0.1708333333333333,0,0,0,0,0
0.1208333333333333,0,0,0,0,0
0.2291666666666666,0,0,0,0,0
0.3291666666666666,0,0,0,0,0
0.5625000000000001,0,0,0,0,0
0.3666666666666666,0,0,0,0,0
0.4041666666666666,0,0,0,0,0
0.2291666666666666,0,0,0,0,0
0.2375,0,0,0,0,0
0.4166666666666667,0,0,0,0,0
0.2833333333333333,0,0,0,0,0
0.1833333333333333,0,0,0,0,0
0.1791666666666667,0,0,0,0,0
0.1666666666666667,0,0,0,0,0
0.1583333333333334,0,0,0,0,0
0.1208333333333333,0,0,0,0,0
0.125,0,0,0,0,0
0.1208333333333333,0,0,0,0,0
0.15,0,0,0,0,0
0.1125,0,0,0,0,0
0.1416666666666667,0,0,0,0,0
0.1916666666666667,0,0,0,0,0
0.1791666666666666,0,0,0,0,0
0.2374999999999998,0,0,0,0,0
0.2374999999999998,0,0,0,0,0
0.1583333333333334,0,0,0,0,0
0.1666666666666667,0,0,0,0,0
0.2374999999999998,0,0,0,0,0
0.175,0,0,0,0,0
0.2416666666666665,0,0,0,0,0
0.1125,0,0,0,0,0
0.125,0,0,0,0,0
